h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
3.257295e-01	8.962247e-02	7.594174e-01	1.844115e-01	8.513080e-04	2	
2.730538e-02	2.186993e-02	2.347157e-01	3.801996e-02	1.722958e-03	3	
2.152486e-01	7.047059e-02	7.901716e-01	6.434104e-01	2.130029e-03	6	
5.846571e-01	3.194216e-01	6.517063e-01	1.249035e-01	1.153059e-03	1	
3.110477e-01	2.069547e-01	6.406750e-02	3.881112e-03	1.515877e-03	2	
2.040957e-01	9.404316e-02	8.079435e-01	5.631016e-02	1.420247e-03	1	
6.066072e-01	2.188305e-01	6.448159e-01	3.216492e-03	8.670190e-04	1	
3.883857e-01	2.167541e-01	5.223755e-01	2.683889e-01	9.274940e-04	1	
3.055615e-01	1.303065e-01	4.995548e-01	0.000000e+00	1.106760e-03	0	
4.272724e-02	7.546176e-02	6.477578e-02	7.376646e-03	1.183400e-03	4	
1.810165e-01	1.401900e-01	1.663217e-01	5.283796e-03	7.977009e-04	1	
7.824686e-02	3.235749e-02	7.393007e-01	3.143181e-01	1.004014e-03	2	
4.542620e-01	1.768307e-01	9.160504e-01	5.887774e-01	1.678162e-03	6	
2.161535e-01	8.495013e-02	8.016372e-01	4.500813e-01	2.539697e-03	4	
6.245475e-01	2.568777e-01	8.120230e-01	1.517964e-01	2.705573e-03	3	
6.847833e-01	3.176891e-01	7.181521e-01	3.133710e-02	3.603523e-03	1	
7.429532e-01	6.837940e-01	1.075971e-01	9.839049e-03	5.984218e-03	9	
2.943817e-01	4.379349e-02	9.848767e-01	8.937370e-01	4.792636e-03	4	
2.023012e-01	1.176922e-01	2.930920e-01	5.643880e-03	4.032378e-03	6	
3.732911e-01	2.509523e-01	2.692258e-01	2.147407e-02	6.552209e-03	4	
3.225291e-01	1.547047e-01	5.931395e-01	1.517986e-01	8.219569e-03	6	
8.725992e-01	7.951480e-01	6.794996e-02	2.130298e-02	6.766236e-03	9	
2.776388e-01	1.700490e-01	1.117733e-02	5.346056e-03	7.771275e-03	8	
3.316964e-01	1.711418e-01	4.608184e-01	1.489040e-01	6.596008e-03	9	
3.021116e-01	1.101374e-01	7.058924e-01	6.719206e-02	5.842646e-03	5	
6.467702e-02	6.527086e-02	4.336274e-02	5.200666e-03	3.722179e-03	3	
5.930008e-02	3.796686e-02	8.473174e-02	0.000000e+00	2.523213e-03	0	
1.180588e-01	1.024067e-01	1.001417e-01	6.963134e-03	2.900589e-03	4	
1.048857e-01	5.622413e-03	9.680094e-01	1.958931e-01	4.933750e-03	2	
3.452653e-01	2.958961e-01	3.790584e-01	4.066923e-02	4.800136e-03	4	
6.923219e-01	5.746257e-01	2.894796e-01	1.577486e-02	3.494227e-03	4	
1.295628e-01	6.934101e-02	7.023826e-01	1.615843e-01	2.933345e-03	3	
6.712465e-01	4.905812e-01	5.106905e-01	1.596307e-01	2.497585e-03	6	
2.501505e-02	1.415841e-02	2.564203e-01	4.053199e-03	2.033412e-03	3	
7.051345e-01	4.464417e-01	4.520367e-01	1.280193e-01	3.234070e-03	2	
1.464122e-01	1.738842e-02	9.340011e-01	5.038141e-01	3.795651e-03	8	
